요구사항ID,도메인,요구사항,관계유형,관련 요구사항ID,관계 설명,요구 설명,우선순위,3사/핏지니 포함여부,대표 출처,중복 병합 출처 수,비고
REQ-PAY-012,매출·결제,결제링크,유사연계,"REQ-HQ-031, REQ-APP-017, REQ-APP-007, REQ-HQ-089, REQ-APP-023, REQ-PAY-013","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-HQ-031 결제 전환율, REQ-APP-017 매점 셀프 결제, REQ-APP-007 결제 이력/영수증, REQ-HQ-089 - 온라인/모바일 간편결제 및 키오스크 결제","스포짐 요청이라기보다 기획 측 판단으로 추가한 기능. / 일단 개발 대상으로 보되, 최종 진행 여부는 판도에서 다시 판단. / 실제 결제는 판도 영역, 링크 발송 주체는 CRM이 될 가능성이 높음. / PG/핏지니 결제 연동 API는 판도에서 제공하는 방향.",,,회의록: lastspr/요구리스트관련자료/회의록/260518.md::L76,1,회의결정/논의
REQ-PAY-013,매출·결제,결제링크 발송(자가 결제),유사연계,"REQ-HQ-089, REQ-PAY-018, REQ-PAY-031, REQ-APP-017, REQ-HQ-031, REQ-APP-007","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-HQ-089 - 온라인/모바일 간편결제 및 키오스크 결제, REQ-PAY-018 결제(현금/카드/할부/마일리지), REQ-PAY-031 미수금 관리, REQ-APP-017 매점 셀프 결제","매출·결제 / 판매·결제(FG). 3사 비교: BroJ=×, OnFit=×, LessonBook=×, FitGenie=○. 핏지니 결제링크 — 차별",,"BroJ=×, OnFit=×, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R69,1,원천 기능행
REQ-PAY-014,매출·결제,결제/매출,유사연계,"REQ-HQ-031, REQ-APP-017, REQ-APP-007, REQ-APP-023, REQ-HQ-089, REQ-CLS-016","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=미수금/미납/잔액, 결제/수납/분할, 환불/취소. 예: REQ-HQ-031 결제 전환율, REQ-APP-017 매점 셀프 결제, REQ-APP-007 결제 이력/영수증, REQ-APP-023 상품 스토어·결제수단 관리","종합 요약. BroJ=분할결제, 해피아워, 미수금, 카드뷰 POS; OnFit=기간정지·양도·환불, 업그레이드; FitPlat 결정=양쪽 전부 통합",,,BroJ vs OnFit 비교분석: lastspr/요구리스트관련자료/3사앱 확인/심프로/비교분석_BroJ_vs_OnFit.md::L14,1,경쟁사 비교/채택전략
REQ-PAY-015,매출·결제,결제 방식 통합 기준,유사연계,"REQ-HQ-031, REQ-APP-017, REQ-APP-007, REQ-APP-023, REQ-HQ-150, REQ-HQ-089","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-HQ-031 결제 전환율, REQ-APP-017 매점 셀프 결제, REQ-APP-007 결제 이력/영수증, REQ-APP-023 상품 스토어·결제수단 관리",온핏 기반=기본 결제; 브로제이 보완=분할결제·선수익금 ✓; 레슨북 고도화=—,,,3사앱 역할비교 DOCX: lastspr/요구리스트관련자료/3사앱 확인/심프로/통합_헬스장_관리시스템_기획문서.docx::기능영역표 R9,1,역할비교/중복보강
REQ-PAY-016,매출·결제,결제수단 선택·결제,유사연계,"REQ-APP-023, REQ-APP-007, REQ-HQ-089, REQ-HQ-031, REQ-APP-017, REQ-HQ-149","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-APP-023 상품 스토어·결제수단 관리, REQ-APP-007 결제 이력/영수증, REQ-HQ-089 - 온라인/모바일 간편결제 및 키오스크 결제, REQ-HQ-031 결제 전환율","Member App > 결제/재등록 > 결제 화면. 카드/계좌 등의 결제수단 선택 후, 앱 내에서 회원권·PT·패키지를 결제할 수 있다.. Input=회원ID, 선택 상품ID, 결제수단 정보, 결제 금액. Output=결제 승인/실패 결과, 주문ID, 이용기간/상품 정보. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R53,1,스포짐 원천요구
REQ-PAY-017,매출·결제,결제 취소/부분환불,유사연계,"REQ-SET-020, REQ-HQ-031, REQ-MBR-056, REQ-PAY-073, REQ-PAY-057, REQ-PAY-058","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할, 환불/취소. 예: REQ-SET-020 서비스 요금제(SaaS 구독), REQ-HQ-031 결제 전환율, REQ-MBR-056 출석 체크(참석/불참/취소), REQ-PAY-073 환불 처리","매출·결제 / 매출 고급(FG). 3사 비교: BroJ=△, OnFit=○, LessonBook=△, FitGenie=○. 핏지니 부분환불",,"BroJ=△, OnFit=○, LessonBook=△, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R86,1,원천 기능행
REQ-PAY-018,매출·결제,결제(현금/카드/할부/마일리지),유사연계,"REQ-APP-017, REQ-PAY-013, REQ-PAY-031, REQ-APP-023, REQ-HQ-031, REQ-APP-007","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-APP-017 매점 셀프 결제, REQ-PAY-013 결제링크 발송(자가 결제), REQ-PAY-031 미수금 관리, REQ-APP-023 상품 스토어·결제수단 관리","매출·결제 / 판매·결제. 3사 비교: BroJ=○, OnFit=○, LessonBook=△, FitGenie=○. 핏지니 결제 처리",,"BroJ=○, OnFit=○, LessonBook=△, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R65,1,원천 기능행
REQ-PAY-019,매출·결제,결제 후 수기 정보 입력 UX,유사연계,"REQ-APP-007, REQ-APP-023, REQ-HQ-031, REQ-APP-017, REQ-MBR-038, REQ-HQ-150","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할, 전자계약/서명. 예: REQ-APP-007 결제 이력/영수증, REQ-APP-023 상품 스토어·결제수단 관리, REQ-HQ-031 결제 전환율, REQ-APP-017 매점 셀프 결제","현재 온핏/브로제이에서는 결제 후 수기 입력, 영수증/승인번호 처리까지 2~3분 정도 소요. / 회원 상담 직후 현장에서 바로 결제/계약서 확인까지 끝내는 흐름이 이상적. / 개발 후 실제 사용해보고 클릭 수, depth, 중복 입력을 줄이는 방향으로 UX 개선 필요. / 기존 온핏/브로제이 사용자라면 30분 내 사용 가능할 것으로 보이나, 초보 직원을 위한 사용 가이드 필요.",,,회의록: lastspr/요구리스트관련자료/회의록/260519.md::L8,1,회의결정/논의
REQ-PAY-020,매출·결제,계좌이체/현금영수증,유사연계,"REQ-APP-007, REQ-MBR-008, REQ-HQ-114, REQ-PRD-007, REQ-APP-023, REQ-SET-020","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-APP-007 결제 이력/영수증, REQ-MBR-008 LTV 변화 추이, REQ-HQ-114 전체 회원 LTV, REQ-PRD-007 이용권 업그레이드",카드/현금 외에 계좌이체 결제수단도 필요. / 계좌이체 시 입금자명이 회원명과 다를 수 있으므로 입금자명 입력 필드 필요. / 매장 직원이 입금자명과 결제 정보를 입력하는 방식. / 현금영수증 처리 여부와 입력 항목 확인 필요.,,,회의록: lastspr/요구리스트관련자료/회의록/260519.md::L36,1,회의결정/논의
REQ-PAY-021,매출·결제,기간 정지(휴회),유사연계,"REQ-PAY-009, REQ-PAY-050, REQ-APP-017, REQ-PAY-051, REQ-PAY-052, REQ-PAY-036","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-PAY-009 가능 횟수 설정(일/주/월 제한), REQ-PAY-050 이용권 양도, REQ-APP-017 매점 셀프 결제, REQ-PAY-051 이용권 업그레이드·변경","매출·결제 / 이용권 사후관리. 3사 비교: BroJ=△, OnFit=○, LessonBook=○, FitGenie=○. 핏지니 정지",,"BroJ=△, OnFit=○, LessonBook=○, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R76,1,원천 기능행
REQ-PAY-022,매출·결제,레슨기록 DB Migration,유사연계,"REQ-MBR-005, REQ-HQ-150, REQ-HQ-063, REQ-MBR-008, REQ-HQ-114, REQ-MBR-043","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-MBR-005 AT-RISK 리스트, REQ-HQ-150 - 회원 정보 통합 관리
 (기본 정보, 회원권, PT/GX 내역, 상담 기록), REQ-HQ-063 손익 요약 보기, REQ-MBR-008 LTV 변화 추이","기존 온핏/브로제이/레슨북 등에서 CRM으로 필요한 데이터를 이전하는 작업. / 레슨만이 아니라 회원, 직원, 결제, 출석, 변경/수정 이력 등 연관 데이터 전체가 대상이 될 수 있음. / 범위가 과도하다고 판단되면 제로스트가 의견을 주기로 함.",,,회의록: lastspr/요구리스트관련자료/회의록/260518.md::L81,1,회의결정/논의
REQ-PAY-023,매출·결제,마일리지,유사연계,"REQ-MBR-005, REQ-MBR-007, REQ-OPS-005, REQ-PRD-009, REQ-APP-023, REQ-HQ-043","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-MBR-005 AT-RISK 리스트, REQ-MBR-007 LOST 회원 리스트, REQ-OPS-005 개발 일정/API/알림, REQ-PRD-009 지점 다중 소속/홈&오피스","마일리지는 1.0에서 기본 구조를 둘 수 있음. / 현재는 결제 금액의 N% 또는 고정 금액을 적립/페이백처럼 사용하는 개념. / 사용은 결제 시 적용하는 방식. / 스포짐이 적립률, 사용 기준, 소멸 기준, 지점별 허용 범위를 정책으로 정의해 전달 필요.",,,회의록: lastspr/요구리스트관련자료/회의록/260519.md::L77,1,회의결정/논의
REQ-PAY-024,매출·결제,매출 관리,유사연계,"REQ-PAY-028, REQ-PAY-062, REQ-APP-017, REQ-SET-020, REQ-PAY-025, REQ-PAY-027","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-PAY-028 매출 유형 탭(7종 분석), REQ-PAY-062 통합 매출 내역, REQ-APP-017 매점 셀프 결제, REQ-SET-020 서비스 요금제(SaaS 구독)","매출·결제 / 매출 분석. 3사 비교: BroJ=○, OnFit=○, LessonBook=○, FitGenie=○. 핏지니 매출 현황 허브",,"BroJ=○, OnFit=○, LessonBook=○, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R78,1,원천 기능행
REQ-PAY-025,매출·결제,매출 관리 (상세),유사연계,"REQ-MBR-072, REQ-PAY-024, REQ-CLS-026, REQ-CLS-029, REQ-APP-023, REQ-HQ-150","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할, 환불/취소. 예: REQ-MBR-072 회원 상세 탭, REQ-PAY-024 매출 관리, REQ-CLS-026 그룹수업 관리, REQ-CLS-029 노쇼·페널티 관리","매출·결제. 결제 내역, 취소·환불 처리. 출처=온핏",P1,,3사앱 통합기획 DOCX: lastspr/요구리스트관련자료/3사앱 확인/심프로/통합_헬스장_관리시스템_기획문서.docx::기능항목표 R20,1,3사 앱 기능요약
REQ-PAY-026,매출·결제,매출 구성 보기,유사연계,"REQ-HQ-063, REQ-MBR-043, REQ-APP-017, REQ-CLS-016, REQ-CLS-020, REQ-HQ-150","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-HQ-063 손익 요약 보기, REQ-MBR-043 운동 요약 보여주기, REQ-APP-017 매점 셀프 결제, REQ-CLS-016 PT 재구매율 비교","Manager App > 지점 손익 > 매출 상세. 회원권/PT/GX/필라테스/부가서비스 등 카테고리별 매출을 분석해 보여준다.. Input=상품 카테고리, 매출 로그, 결제 기록. Output=카테고리별 매출 %, 구성 비율 차트. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R101,1,스포짐 원천요구
REQ-PAY-027,매출·결제,매출 예측,유사연계,"REQ-SET-020, REQ-PAY-024, REQ-PAY-028, REQ-PAY-030, REQ-PAY-043, REQ-PAY-062","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-SET-020 서비스 요금제(SaaS 구독), REQ-PAY-024 매출 관리, REQ-PAY-028 매출 유형 탭(7종 분석), REQ-PAY-030 매출 통계·차트 분석","매출·결제 / 매출 고급(FG). 3사 비교: BroJ=×, OnFit=×, LessonBook=×, FitGenie=○. 핏지니 매출 목표 + 예측 — 차별",,"BroJ=×, OnFit=×, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R87,1,원천 기능행
REQ-PAY-028,매출·결제,매출 유형 탭(7종 분석),유사연계,"REQ-PAY-024, REQ-PAY-062, REQ-APP-017, REQ-SET-020, REQ-PAY-027, REQ-PAY-030","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-PAY-024 매출 관리, REQ-PAY-062 통합 매출 내역, REQ-APP-017 매점 셀프 결제, REQ-SET-020 서비스 요금제(SaaS 구독)","매출·결제 / 매출 고급(FG). 3사 비교: BroJ=△, OnFit=○, LessonBook=△, FitGenie=○. 핏지니 매출 현황 분석 탭 7종",,"BroJ=△, OnFit=○, LessonBook=△, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R82,1,원천 기능행
REQ-PAY-029,매출·결제,매출 통계,중복병합,"REQ-STF-009, REQ-PAY-030, REQ-CLS-050, REQ-SET-028, REQ-SET-029, REQ-HQ-025","동일 또는 사실상 같은 요구를 3개 출처에서 병합. 관련그룹=결제/수납/분할, 권한/역할","매출·결제. 일별·월별·지점별 매출 차트. 출처=온핏 / 2. 결제 · 매출. BroJ=★★ (통합 매출 내역 탭); OnFit=★★★ 매출 분석 차트·트레이너별 실적; FitPlat 결정=**OnFit** 통계 채택 / 상품별, 상품 타입별, 결제수단별 등 차트/그래프 7종 수준의 통계가 기획에 포함됨. / 기존 CRM 화면을 보며 기능 의도를 확인했고, 난이도/비용 이슈가 있으면 제로스트가 의견을 주기로 함.",P1,,3사앱 통합기획 DOCX: lastspr/요구리스트관련자료/3사앱 확인/심프로/통합_헬스장_관리시스템_기획문서.docx::기능항목표 R19 | BroJ vs OnFit 비교분석: lastspr/요구리스트관련자료/3사앱 확인/심프로/비교분석_BroJ_vs_OnFit.md::L56 | 회의록: lastspr/요구리스트관련자료/회의록/260518.md::L52,3,3사 앱 기능요약
REQ-PAY-030,매출·결제,매출 통계·차트 분석,유사연계,"REQ-SET-020, REQ-PAY-024, REQ-PAY-027, REQ-PAY-028, REQ-PAY-043, REQ-PAY-062","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-SET-020 서비스 요금제(SaaS 구독), REQ-PAY-024 매출 관리, REQ-PAY-027 매출 예측, REQ-PAY-028 매출 유형 탭(7종 분석)","매출·결제 / 매출 분석. 3사 비교: BroJ=○, OnFit=○, LessonBook=○, FitGenie=○. 핏지니 매출 통계",,"BroJ=○, OnFit=○, LessonBook=○, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R79,1,원천 기능행
REQ-PAY-031,매출·결제,미수금 관리,중복병합,"REQ-SET-020, REQ-APP-023, REQ-PAY-013, REQ-PAY-018, REQ-APP-017, REQ-MKT-030","동일 또는 사실상 같은 요구를 4개 출처에서 병합. 관련그룹=미수금/미납/잔액, 결제/수납/분할, 자동알림/메시지","매출·결제 / 매출 분석. 3사 비교: BroJ=○, OnFit=△, LessonBook=△, FitGenie=○. 핏지니 미수금 관리 / 매출·결제. 미납금 추적·알림·회수 처리. 출처=브로제이 / 온핏 기반=선수익금 조회; 브로제이 보완=미수금 관리 전용 메뉴 ✓; 레슨북 고도화=— / 2. 결제 · 매출. BroJ=★★★ 전용 화면, 회원별 미수금 추적, 수납 처리; OnFit=★★ (결제 시 미수 기록만); FitPlat 결정=**BroJ** 미수금 관리 채택",P2,"BroJ=○, OnFit=△, LessonBook=△, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R81 | 3사앱 통합기획 DOCX: lastspr/요구리스트관련자료/3사앱 확인/심프로/통합_헬스장_관리시스템_기획문서.docx::기능항목표 R24 | 3사앱 역할비교 DOCX: lastspr/요구리스트관련자료/3사앱 확인/심프로/통합_헬스장_관리시스템_기획문서.docx::기능영역표 R10 | BroJ vs OnFit 비교분석: lastspr/요구리스트관련자료/3사앱 확인/심프로/비교분석_BroJ_vs_OnFit.md::L53,4,원천 기능행
REQ-PAY-032,매출·결제,배지·포인트 지급,유사연계,"REQ-MBR-064, REQ-CLS-021, REQ-FAC-023, REQ-APP-019, REQ-MBR-014, REQ-MBR-065","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=회원등급/세그먼트. 예: REQ-MBR-064 회원 등급, REQ-CLS-021 PT 패키지 선택, REQ-FAC-023 민원 발생 트래킹, REQ-APP-019 멤버십 등급 조회","Member App > 오늘의 운동 루틴 > 루틴 완료. 루틴 완료 시 배지(연속일수, consistency 등)와 포인트를 자동 지급하고, 마일리지·혜택과 연결한다.. Input=회원ID, 루틴 완료 상태, 연속 수행일수, 기존 배지/포인트. Output=지급된 포인트/배지, 리워드 로그, LTV/Loyalty Score 업데이트. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R23,1,스포짐 원천요구
REQ-PAY-033,매출·결제,부분 결제/부분 취소/미수금,유사연계,"REQ-APP-007, REQ-APP-023, REQ-HQ-031, REQ-CLS-006, REQ-CLS-039, REQ-APP-017","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=미수금/미납/잔액, 결제/수납/분할, 환불/취소, 자동알림/메시지, 출입/키오스크/모바일. 예: REQ-APP-007 결제 이력/영수증, REQ-APP-023 상품 스토어·결제수단 관리, REQ-HQ-031 결제 전환율, REQ-CLS-006 GX 예약/취소","스포짐은 하나의 상품 또는 여러 상품을 카드 2~3개, 현금, 계좌이체 등으로 나눠 결제하는 케이스가 있음. / 한 화면에서 여러 결제수단/매입사별 결제를 등록하고, 취소/변경도 같은 화면에서 처리되면 좋다는 요구. / 카드 승인 건 자체는 기본적으로 승인금액 단위 전체 취소가 원칙으로 이해. / 상품 일부 취소나 결제수단 일부 취소 시 남은 금액은 미수금으로 잡혀야 함. / 1.0에서는 CRM에서 미수금을 관리하고, 회원앱/키오스크에서 반복 알림까지 띄우는 것은 제외하는 방향. / 미수금 알림은 추후 정책 결정 필요. 최소한 CRM에서 직원이 인지할 수 있어야 함.",,,회의록: lastspr/요구리스트관련자료/회의록/260519.md::L19,1,회의결정/논의
REQ-PAY-034,매출·결제,분할 결제,중복병합,"REQ-HQ-031, REQ-APP-017, REQ-APP-007, REQ-PAY-042, REQ-APP-023, REQ-HQ-089",동일 또는 사실상 같은 요구를 2개 출처에서 병합. 관련그룹=결제/수납/분할,매출·결제. 복합 결제 수단 분할 처리. 출처=브로제이 / 2. 결제 · 매출. BroJ=★★★ 결제수단 복수 선택 (현금+카드 혼합 등); OnFit=★★ (단일 수단); FitPlat 결정=**BroJ** 분할결제 채택,P1,,3사앱 통합기획 DOCX: lastspr/요구리스트관련자료/3사앱 확인/심프로/통합_헬스장_관리시스템_기획문서.docx::기능항목표 R23 | BroJ vs OnFit 비교분석: lastspr/요구리스트관련자료/3사앱 확인/심프로/비교분석_BroJ_vs_OnFit.md::L51,2,3사 앱 기능요약
REQ-PAY-035,매출·결제,비용 정산 승인,유사연계,"REQ-STF-018, REQ-STF-020, REQ-STF-036, REQ-STF-049, REQ-STF-015, REQ-STF-019","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=급여/정산/지출. 예: REQ-STF-018 급여/정산/지출, REQ-STF-020 급여 정책·자동 계산, REQ-STF-036 지출 승인 내역 요약, REQ-STF-049 트레이너 실적 정산","Manager App > 전자결재 > 결재 리스트. 직원이 제출한 영수증 기반 정산 요청을 검토/승인한다.. Input=정산 요청서, 영수증, 금액. Output=정산 승인/반려 결과. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R123,1,스포짐 원천요구
REQ-PAY-036,매출·결제,상품 목록(회원권/수강권/락커/대여),유사연계,"REQ-APP-017, REQ-PRD-014, REQ-FAC-021, REQ-PAY-009, REQ-PAY-021, REQ-PAY-037","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할, 락커/사물함. 예: REQ-APP-017 매점 셀프 결제, REQ-PRD-014 회원권/락커 만료일, REQ-FAC-021 락커 현황(박스뷰/그리드), REQ-PAY-009 가능 횟수 설정(일/주/월 제한)","매출·결제 / 상품 관리. 3사 비교: BroJ=○, OnFit=○, LessonBook=○, FitGenie=○. 핏지니 상품 관리",,"BroJ=○, OnFit=○, LessonBook=○, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R56,1,원천 기능행
REQ-PAY-037,매출·결제,상품 비교(최대 3개),유사연계,"REQ-PAY-009, REQ-PAY-021, REQ-PAY-036, REQ-PAY-041, REQ-PAY-046, REQ-PAY-050","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-PAY-009 가능 횟수 설정(일/주/월 제한), REQ-PAY-021 기간 정지(휴회), REQ-PAY-036 상품 목록(회원권/수강권/락커/대여), REQ-PAY-041 상품 카탈로그(인쇄·공유)","매출·결제 / 상품 관리(FG). 3사 비교: BroJ=×, OnFit=×, LessonBook=×, FitGenie=○. 핏지니 비교",,"BroJ=×, OnFit=×, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R61,1,원천 기능행
REQ-PAY-038,매출·결제,상품 상세 패널(가격 이력·판매 현황),유사연계,"REQ-SET-020, REQ-PAY-039, REQ-APP-017, REQ-PAY-009, REQ-PAY-021, REQ-PAY-050","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-SET-020 서비스 요금제(SaaS 구독), REQ-PAY-039 상품 생성(유형별), REQ-APP-017 매점 셀프 결제, REQ-PAY-009 가능 횟수 설정(일/주/월 제한)","매출·결제 / 상품 관리(FG). 3사 비교: BroJ=△, OnFit=×, LessonBook=×, FitGenie=○. 산출물 D05-상품관리/PRD-EXT-02 — 상품 조회 + 가격 변경 이력 + 판매 현황 — (v5 추가)",,"BroJ=△, OnFit=×, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R204,1,원천 기능행
REQ-PAY-039,매출·결제,상품 생성(유형별),유사연계,"REQ-SET-020, REQ-PAY-038, REQ-APP-017, REQ-PAY-036, REQ-APP-023, REQ-PAY-058","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-SET-020 서비스 요금제(SaaS 구독), REQ-PAY-038 상품 상세 패널(가격 이력·판매 현황), REQ-APP-017 매점 셀프 결제, REQ-PAY-036 상품 목록(회원권/수강권/락커/대여)","매출·결제 / 상품 관리. 3사 비교: BroJ=○, OnFit=○, LessonBook=○, FitGenie=○. 핏지니 상품 등록/수정",,"BroJ=○, OnFit=○, LessonBook=○, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R57,1,원천 기능행
REQ-PAY-040,매출·결제,상품 유형 구분,유사연계,"REQ-FAC-018, REQ-CLS-037, REQ-STF-033, REQ-APP-023, REQ-MBR-072, REQ-PAY-039","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할, 락커/사물함. 예: REQ-FAC-018 락커 유형, REQ-CLS-037 수업 상품 등록, REQ-STF-033 전자계약서 유형, REQ-APP-023 상품 스토어·결제수단 관리",2. 결제 · 매출. BroJ=★★★ **회원권·수강권·락커·운동복·일반** 5종 명확히 구분; OnFit=★★ (헬스·PT·그룹 정도); FitPlat 결정=**BroJ** 상품 유형 체계 채택,,,BroJ vs OnFit 비교분석: lastspr/요구리스트관련자료/3사앱 확인/심프로/비교분석_BroJ_vs_OnFit.md::L57,1,경쟁사 비교/채택전략
REQ-PAY-041,매출·결제,상품 카탈로그(인쇄·공유),유사연계,"REQ-PAY-009, REQ-PAY-021, REQ-PAY-036, REQ-PAY-037, REQ-PAY-046, REQ-PAY-050","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-PAY-009 가능 횟수 설정(일/주/월 제한), REQ-PAY-021 기간 정지(휴회), REQ-PAY-036 상품 목록(회원권/수강권/락커/대여), REQ-PAY-037 상품 비교(최대 3개)","매출·결제 / 상품 관리(FG). 3사 비교: BroJ=×, OnFit=×, LessonBook=×, FitGenie=○. 핏지니 카탈로그",,"BroJ=×, OnFit=×, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R60,1,원천 기능행
REQ-PAY-042,매출·결제,선결제·분할 결제,유사연계,"REQ-SET-020, REQ-PAY-043, REQ-PAY-058, REQ-PAY-064, REQ-HQ-031, REQ-HQ-089","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-SET-020 서비스 요금제(SaaS 구독), REQ-PAY-043 선수익금 관리(Deferred Revenue), REQ-PAY-058 정기 구독 결제, REQ-PAY-064 할부 결제 관리(회차별)","매출·결제 / 판매·결제. 3사 비교: BroJ=△, OnFit=○, LessonBook=×, FitGenie=○. 핏지니 선수익금 + 할부",,"BroJ=△, OnFit=○, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R66,1,원천 기능행
REQ-PAY-043,매출·결제,선수익금 관리(Deferred Revenue),유사연계,"REQ-PAY-042, REQ-SET-020, REQ-PAY-024, REQ-PAY-027, REQ-PAY-028, REQ-PAY-030","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할. 예: REQ-PAY-042 선결제·분할 결제, REQ-SET-020 서비스 요금제(SaaS 구독), REQ-PAY-024 매출 관리, REQ-PAY-027 매출 예측","매출·결제 / 매출 고급(FG). 3사 비교: BroJ=×, OnFit=×, LessonBook=×, FitGenie=○. 핏지니 회계 표준",,"BroJ=×, OnFit=×, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R83,1,원천 기능행
