row	????	?????	???? ?? ??_26.05.19	?? ?? ??_26.05.20
379	CLS-08-08	노쇼/취소 정책	고객사 측에서 판단 기준을 전달 받아야 함. 제로스트 측에서 자의적으로 작성하라고 한다면 불가능	"[기획 답변] 제로스트 의견처럼 운영 정책값은 고객사/판도 확정이 필요합니다. 개발사가 임의로 정할 사항은 아니며, 기획 기준의 의미는 다음과 같습니다. 노쇼/취소 정책은 노쇼 자동 부과 여부, 늦은 취소 기준, 페널티 내용, 예외 승인/해제 권한을 묶은 정책입니다. 운영 정책값 확정이 필요한 항목입니다.
근거 문서: admin/기능명세서/D04-수업관리/CLS-08-페널티관리/00-기본기능.md"
394	CLS-13-05	NPS 집계	CLS-EXT-02 별점/코멘트 수준을 초과하는 NPS 지표 산출 로직 필요	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. NPS 집계는 수업 평가의 추천 의향 점수를 집계하는 지표입니다. 별점/코멘트만 운영하는 범위라면 제외 가능하며, NPS 지표 산출까지 요구하면 추가 협의 대상으로 봅니다.
근거 문서: admin/기능명세서/D04-수업관리/CLS-13-수업평가피드백/00-기본기능.md"
395	CLS-13-06	신고 처리	평가 신고 접수·처리·관리 워크플로우. 명시 없는 추가 기능	"[기획 답변] 제로스트 의견의 계약 범위 이견과 구분해 답변드립니다. 기능 정의는 기획 문서 기준 다음과 같습니다. 신고 처리는 수업 평가/피드백 중 부적절한 리뷰나 클레임성 피드백을 접수·확인·처리상태로 관리하는 워크플로우입니다. 단순 피드백 표시를 넘는 운영 프로세스라 추가 협의 대상으로 봅니다.
근거 문서: admin/기능명세서/D04-수업관리/CLS-13-수업평가피드백/00-기본기능.md"
398	SAL-01-01	요약 지표 카드	LV3 기능에서의 4종 요약 카드, 본사 통합 합산 기능에 대한 세부 설명 확인 후 판단 가능	"[기획 답변] 제로스트의 판단불가 사유에 대해 기능 의미를 다음과 같이 명확히 정리합니다. 요약 지표 카드 4종은 순 매출, 카드 결제, 현금 결제, 미수금입니다. 본사 통합 모드에서는 권한 범위 내 지점 합산으로 표시합니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-01-매출현황/00-기본기능.md"
401	SAL-01-04	복합 필터	"LV3 기능에서의 결제 경로에서 POS/수기 외의 ""링크""에 대한 내용 확인 후 판단 가능"	"[기획 답변] 제로스트의 판단불가 사유에 대해 기능 의미를 다음과 같이 명확히 정리합니다. 결제 경로의 링크는 비대면 결제링크를 통해 결제된 거래를 의미합니다. POS/수기/링크는 매출 발생 경로 필터입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-01-매출현황/00-기본기능.md"
402	SAL-01-05	매출유형 탭	"LV3 기능에서의 ""6종""에 대한 각 종류 탭 내용 확인 후 판단 가능."	"[기획 답변] 제로스트의 판단불가 사유에 대해 기능 의미를 다음과 같이 명확히 정리합니다. 매출유형 탭 6종은 전체, 회원권, PT, GX, 기타상품, 환불/취소 성격의 매출 분류 탭입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-01-매출현황/00-기본기능.md"
404	SAL-01-07	매출 목록 테이블	"LV3 기능에서의 ""13개 컬럼 렌더링""에 13개 컬럼 정의 불명확하여 판단 불가"	"[기획 답변] 제로스트의 판단불가 사유에 대해 기능 의미를 다음과 같이 명확히 정리합니다. 매출 목록 13개 컬럼은 결제일시, 회원명, 연락처, 상품명, 매출유형, 결제경로, 결제수단, 결제금액, 환불/취소액, 미수금, 담당자, 상태, 액션입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-01-매출현황/00-기본기능.md"
405	SAL-01-08	하단 요약 바	"LV3 기능에서의 ""7종 합계 표시""에서 7종에 대한 정의 불명학하여 판단 불가"	"[기획 답변] 제로스트의 판단불가 사유에 대해 기능 의미를 다음과 같이 명확히 정리합니다. 하단 요약 바 7종 합계는 총 결제액, 순매출, 카드, 현금, 계좌이체, 환불/취소, 미수금 합계입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-01-매출현황/00-기본기능.md"
406	SAL-01-09	매출 상세 모달 (DLG-S001)	"LV3 기능에서 ""링크 상태""에 대한 내용 확인 후에 판단 가능."	"[기획 답변] 제로스트의 판단불가 사유에 대해 기능 의미를 다음과 같이 명확히 정리합니다. 매출 상세 모달의 링크 상태는 결제링크 거래의 발송됨/결제완료/만료/취소 상태를 표시하는 값입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-01-매출현황/00-기본기능.md"
407	SAL-01-10	신규 결제 진입	"LV3 기능에서 ""[신규 결제(POS)] → SCR-S002""에서 SCR-S002로 이동하는 부분 어떤건지 확인 필요."	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. 신규 결제(POS) 진입은 매출 현황에서 POS 판매 화면(SCR-S002)으로 이동하는 CTA입니다. 상품 선택 후 결제 처리(SCR-S003)로 이어집니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-01-매출현황/00-기본기능.md"
408	SAL-01-11	엑셀 내보내기	"계약서에 엑셀 내보내기 기능 명시 없음. 
 검색된 목록 내용에 대해서 엑셀 파일로 다운받기 정도의 기본 기능이면 무상 가능해보임."	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 엑셀 내보내기는 현재 검색/필터가 적용된 매출 목록을 다운로드하는 기본 조회 보조 기능입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-01-매출현황/00-기본기능.md"
411	SAL-03-01	최상위 탭 (3종)	"견적서에 최상위 탭 3종 명시 없음.
 
 전체 통계, 직군별, 담당자별 매출 통계를 구분하는 정도의 기본 필수 기능이라면 필수 항목 무상"	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 최상위 탭 3종은 전체 통계, 직군별, 담당자별 매출 통계입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-03-매출통계/00-기본기능.md"
412	SAL-03-02	날짜 필터 + 5 프리셋	"LV3 기능에서 ""5개 프리셋 버튼""이 무엇인지 판단 불가하여 고객사에서 명시 필요."	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 날짜 프리셋 5종은 오늘, 이번 주, 이번 달, 이번 분기, 올해입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-03-매출통계/00-기본기능.md"
413	SAL-03-03	하위 탭 7종	"고객사 측에서 걱 항목에 대해 다양한 차트/그래프를 적용하는 부분에 대해서 확정적으로 전달하지 않음.
 
 어떤식으로 하면 될지 저희 측에서 판단 불가하며 각 항목에 대한 차트/그래프별 기능 명시가 필요하고 해당 내용 확인 후 각 항목에 대해 판단 가능.
 
 LV3 기능에서도 차트/그래프 명시는 되어있으나, 화상미팅 시 논의 후 전달 예정이라고 하심."	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 하위 탭 7종은 결제수단별, 상품유형별, 기간별, 담당자별, 지점별, 신규/재등록별, GX 세부종목별 통계를 구분하는 탭입니다. 별도 고급 차트 요구가 아니라 통계 분류 표시입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-03-매출통계/00-기본기능.md"
415	SAL-03-05	총 매출 표시	"LV3 기능에서의 ""큰 숫자 표시""가 어떤건지 확인 필요."	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. 총 매출 큰 숫자 표시는 선택 기간/필터 기준 총 매출 합계를 화면 상단에 크게 표시하는 요약 지표입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-03-매출통계/00-기본기능.md"
417	SAL-03-07	개월별 판매 비율	"개월별 판매 비율에 대해서 계약서에 명시된 내용 없고,
 
 LV3 기능에서의 ""`[주간월간보고]` V5:Z5 매핑""에 대해서 어떤 건지 확인 필요.,"	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 개월별 판매 비율은 1/3/6/12개월 등 상품 기간별 판매 비중을 계산해 보여주는 통계입니다. 주간월간보고 매핑은 내부 보고서 컬럼과 같은 기준으로 집계한다는 의미입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-03-매출통계/00-기본기능.md"
418	SAL-03-08	GX 세부 종목	LV3 기능에서의 6종 분류에 대해서 확인 필요.	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. GX 세부 종목 6종은 요가, 필라테스, 스피닝, 줌바, 에어로빅, GX기타입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-03-매출통계/00-기본기능.md"
420	SAL-03-10	담당자별 신규/재등록	"계약서에 담당자별 신규/재등록 매출에 대한 명시는 없음.
 
 LV3 기준으로 상품 종류별로 담당자와 등록강사로 컬럼명 구분 정도는 UI상 처리해주는 정도면 무상 가능해보임. 
 
 다만 DB상 구분은 담당자로만 처리하는 기준."	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 담당자별 신규/재등록은 매출을 신규 등록과 재등록으로 나누고 담당자 기준으로 집계하는 통계입니다. 담당자는 결제/상담의 매출 귀속 담당자 기준으로 봅니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-03-매출통계/00-기본기능.md"
421	SAL-03-11	골프프로별 매출	골프 프로별로 매출/수업 관리하는 기능에 대해서 계약서에 명시되어있지 않음.	"[기획 답변] 제로스트 의견의 계약 범위 이견과 구분해 답변드립니다. 기능 정의는 기획 문서 기준 다음과 같습니다. 골프프로별 매출은 골프 프로 담당 수업/상품 매출을 담당자별로 분리 집계하는 통계입니다. 골프 프로 운영이 V1 필수 범위가 아니면 별도 협의 대상으로 분리 가능합니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-03-매출통계/00-기본기능.md"
423	SAL-04-01	요약 지표 4종	"계약서에는 따로 명시 없는 기능이나,

LV3 기능 기준으로 ""총 / 인식 / 잔여 / 이번 달 인식"" 정도의 
요약 지표와 단순 색상 강조 정도라면 무상 가능해보임"	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 선수익금 요약 지표 4종은 총 선수익, 인식 완료, 잔여 선수익, 이번 달 인식액입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-04-선수익금조회/00-기본기능.md"
425	SAL-04-03	선수익금 목록 테이블	"LV3 기준 ""8개 컬럼""에 대한 세부 컬럼 확인 후 판단 가능.

또한 ""진행률 프로그래스 바""와 ""색상 분기""는 필수 기능으로 보이지 않음"	"[기획 답변] 제로스트의 판단불가 사유에 대해 기능 의미를 다음과 같이 명확히 정리합니다. 선수익금 목록 8개 컬럼은 회원명, 상품명, 결제일, 이용기간, 총액, 인식액, 잔여액, 진행률/상태입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-04-선수익금조회/00-기본기능.md"
426	SAL-04-04	서비스일수 판정	"LV3에서
""1/3/6/12/기타 5버킷"" 이 어떤건지
""`durationMonths` 우선""이 어떤건지
""매출통계 동일 기준"" 기능은 어떤건지
확인 후 판단 가능"	"[기획 답변] 제로스트의 판단불가 사유에 대해 기능 의미를 다음과 같이 명확히 정리합니다. 서비스일수 판정의 1/3/6/12/기타 5버킷은 상품 기간을 월 단위로 묶어 선수익 인식 기간을 판단하는 기준입니다. durationMonths 우선은 상품에 명시된 이용 개월 수를 우선 사용한다는 의미입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-04-선수익금조회/00-기본기능.md"
429	SAL-05-02	필터 드롭다운 4종	"LV3 기능에서 ""동적 생성"" 기능이 뭔지 확인 필요."	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. 필터 드롭다운 4종은 기간, 지점, 상품유형, 결제수단입니다. 동적 생성은 실제 데이터에 존재하는 값 기준으로 필터 옵션을 생성한다는 의미입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-05-통계관리/00-기본기능.md"
431	SAL-05-04	통계 테이블 17 컬럼	"LV3에 명시된 ""상품권/포인트"" 기능은 계약서에 없는 항목인데,
통계에 어떻게 들어가는건지 확인 필요."	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 통계 테이블 17컬럼은 매출일, 지점, 상품유형, 상품명, 결제수단, 총매출, 순매출, 환불, 할인, VAT, VAT 제외액, 카드, 현금, 계좌이체, 포인트/상품권, 담당자, 비고입니다. 포인트/상품권은 결제수단별 집계 항목으로만 반영합니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-05-통계관리/00-기본기능.md"
432	SAL-05-05	VAT 제외 매핑	"LV3에서 ""[월매출]` I열 매핑"" 기능이 어떤건지 확인 필요.

단순 VAT 제외와 포함 금액 구분 정도인지 확인 필요."	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. VAT 제외 매핑은 부가세 포함 금액에서 VAT 제외 공급가액을 분리해 통계 컬럼에 표시하는 기준입니다. 외부 세금계산서 연동이 아니라 내부 통계 계산 기준입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-05-통계관리/00-기본기능.md"
434	SAL-05-07	액션 버튼	고객사측에서도 통계 관리 화면에 대한 내용 다시 확인 후 수정해서 전달 예정이라고 하셔서 아직 판단 불가.	"[기획 답변] 제로스트 의견처럼 고객사/판도 확정이 필요한 지점은 따로 구분합니다. 현재 기획 답변으로 정리할 수 있는 문서상 정의는 다음과 같습니다. 액션 버튼은 조건 적용, 초기화, 엑셀 다운로드, 상세보기 등 통계 조회 화면의 기본 조작 버튼입니다. 별도 워크플로우가 아니라 조회 편의 기능입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-05-통계관리/00-기본기능.md"
436	SAL-EXT-01-01	요약 지표 카드	"LV3 기능에서의 ""카드 클릭 -> 자동 필터"" 기능은 어떤건지 확인 필요."	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. 요약 지표 카드는 이번 달 예정, 완료, 미납, 총 할부 금액 성격의 카드입니다. 카드 클릭 시 해당 상태/조건 필터가 자동 적용됩니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-EXT-01-할부결제관리/00-기본기능.md"
437	SAL-EXT-01-02	상태 탭	"계약서에서 명시되지 않았으나, 할부 관리 시 할부 상태별 탭은 필요해보임.

(LV3 기준으로 전체 / 진행중 / 완납 / 미납 4가지로 구분 탭 정도의 수준일시)"	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 상태 탭은 전체, 진행중, 완납, 미납 4종입니다. 각 탭에는 해당 계약 건수 배지를 표시합니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-EXT-01-할부결제관리/00-기본기능.md"
438	SAL-EXT-01-03	검색 / 필터	"LV3에서 ""계약 출처 필터""에 대한 설명 확인 필요."	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. 계약 출처 필터는 할부 계약이 계약금 잔액 전환, 정기 분납, 수기 등록 등 어떤 경로로 생성됐는지를 구분하는 필터입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-EXT-01-할부결제관리/00-기본기능.md"
439	SAL-EXT-01-04	계약 목록 테이블	"LV3에서 ""11개 컬럼 렌더링""에서 11개 컬럼 정의 필요.
""회원명 클릭 → SCR-M004""도 기획 코드가 아닌 기능 명시 필요."	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 계약 목록 11개 컬럼은 회원명, 연락처, 계약상품, 총 할부금액, 납입 회차, 납입완료액, 잔여액, 다음 납입일, 상태, 계약 출처, 액션입니다. 회원명 클릭은 회원 상세 진입 기능입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-EXT-01-할부결제관리/00-기본기능.md"
442	SAL-EXT-01-07	할부 등록	"LV3에서 ""[+ 할부 등록] → DLG-S009""에서 ""DLG-S009"" 확인 필요."	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. DLG-S009는 할부 등록 다이얼로그입니다. 회원, 잔액 기준 총 할부금액, 할부 기간, 첫 납입일을 입력해 정기 분납 계획을 생성합니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-EXT-01-할부결제관리/00-기본기능.md"
443	SAL-EXT-01-08	엑셀 다운로드	"엑셀 다운로드 기능 자체가 계약서에 명시되어있지 않음.

LV3 기능 기준으로 ""현재 필터 기준 다운로드"" 외에 ""파일명 규칙 적용""은 비필수 유상 기능으로 판단됨."	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 엑셀 다운로드는 현재 필터 기준 할부 계약 목록 다운로드입니다. 파일명 규칙은 운영 편의 규칙이며 별도 고급 기능이 아닙니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-EXT-01-할부결제관리/00-기본기능.md"
445	SAL-EXT-02-01	요약 지표 카드	"요약지표에 대한 내용이 계약서에 없으나,

LV3 기준으로 이번 달 발행 건수/ 이번 달 발행 총액 / 미발행 대기 건수 정도라면 
무상가능해보임"	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 요약 지표 카드는 이번 달 발행 건수, 이번 달 발행 총액, 미발행 대기 건수, 발행 실패/오류 건수입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-EXT-02-세금계산서발행/00-기본기능.md"
448	SAL-EXT-02-04	세금계산서 발행 폼	"LV3에서 ""공급 품목 자동 채움""은 어떤 기능인지 확인 필요."	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. 공급 품목 자동 채움은 결제 상품명, 수량, 공급가액, VAT, 합계 금액을 결제 내역에서 세금계산서 발행 폼으로 자동 가져오는 기능입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-EXT-02-세금계산서발행/00-기본기능.md"
450	SAL-EXT-02-06	발행 이력	"LV3에서 ""7개 컬럼 렌더링"" 에서 7개 컬럼 명시 필요하며,
""상세 → DLG-S010""와 같은 내용도 기획코드가 아닌 실제 기능을 명시해야 함."	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 발행 이력 7개 컬럼은 발행일, 회원/사업자명, 사업자번호, 공급가액, VAT, 상태, 액션입니다. 상세는 발행 상세 다이얼로그를 여는 기능입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-EXT-02-세금계산서발행/00-기본기능.md"
452	SAL-EXT-02-08	엑셀 다운로드	"계약서에 엑셀 다운로드 기능 명시는 없으나,
 단순히 발행 내역 테이블을 엑셀 파일로 다운로드하는 기본 기능이라면 무상 가능해보임.
또한 LV3 기능에서의 ""파일명 규칙""에 대해서는 협의된 1종 규칙 정도일때 무상으로 보임."	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 엑셀 다운로드는 발행 이력 테이블의 현재 검색/필터 결과를 내려받는 기능입니다. 파일명 규칙은 협의된 1종 규칙으로 적용 가능합니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-EXT-02-세금계산서발행/00-기본기능.md"
460	SAL-EXT-04-07	처리 확인 모달	"LV3 기준으로 ""DLG-S013 기준 확인 / 결과 모달 DLG-S014""와 같이 적혀있는데,
기획코드가 아닌 기능 명시 필요함."	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. DLG-S013은 환불/취소 처리 전 최종 확인 모달이고 DLG-S014는 처리 결과 안내 모달입니다. 실제 기능은 처리 전 금액·수단·사유 확인과 처리 완료 결과 표시입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-EXT-04-결제취소부분환불/00-기본기능.md"
461	SAL-EXT-04-08	처리 완료 안내	"LV3 기준으로 ""SCR-S007 이동 CTA""와 같이 적혀있는데, 
화면설계 기획코드가 아닌 기능 명시 필요."	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 처리 완료 안내의 SCR-S007 이동 CTA는 환불/취소 처리 후 환불관리 화면으로 이동하는 버튼입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-EXT-04-결제취소부분환불/00-기본기능.md"
463	SAL-EXT-04-10	예외 처리	"LV3 기준으로 ""결제링크 미완료 시 링크 취소"" 기능 확인 필요.

""결제링크"" 관련 기능은 계약서에도 없고 고객사에서도 내부 확인 필요하다고 했음."	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 결제링크 미완료 건은 환불 대상이 아니라 링크 취소로 처리합니다. 이미 결제 완료된 건만 환불/취소 처리 대상입니다.
근거 문서: admin/기능명세서/D03-매출관리/SAL-EXT-04-결제취소부분환불/00-기본기능.md"
465	STF-01-01	요약 지표 카드	"LV3 기준으로 ""4종 카드 렌더링""이라고 적혀있는데, 4종에 대한 명시 후 판단 가능."	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 직원 목록 요약 지표 4종은 전체 직원, 재직, 휴직/정지, 퇴사 예정/최근 퇴사 성격의 카드입니다.
근거 문서: admin/기능명세서/D07-직원관리/STF-01-직원목록/00-기본기능.md"
468	STF-01-04	일괄 작업	"고객사 측에서 정의가 아직 확실히되지 않아서, 다시 공유해주셔야 판단 가능.

LV3에서 ""메시지 전송 → SCR-071, 퇴사 처리 → DLG-060-002 → SCR-062""
와 같이 기획코드로 적어둔 것도 기능 명시 필요."	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 일괄 작업은 선택 직원 대상 메시지 전송, 권한/상태 변경, 퇴사 처리 등 운영 액션입니다. 각 화면코드는 해당 액션의 이동 대상 또는 확인 다이얼로그입니다.
근거 문서: admin/기능명세서/D07-직원관리/STF-01-직원목록/00-기본기능.md"
469	STF-01-05	직원 목록 테이블	"LV3 기준.
""9개  컬럼 렌더링"" => 9개 컬럼 정의 불명확.
""직원명 클릭 → STF-02 상세"" => 기획 코드 아닌 기능 명시 필요.
""모바일 풀스크린"" => 어떤 기능인지 명시 필요.
""더보기 메뉴"" => 여기서 어디로 가는건지, 기능 어떤건지 명시 필요.

"	"[기획 답변] 제로스트 의견의 계약 범위 이견과 구분해 답변드립니다. 기능 정의는 기획 문서 기준 다음과 같습니다. 직원 목록 9개 컬럼은 체크박스, 직원명, 직무, 연락처, 소속 지점, 재직 상태, 권한 역할, 최근 근태, 액션입니다. 직원명 클릭은 직원 상세 진입, 더보기는 수정/권한/퇴사 등 행 액션입니다. 모바일 풀스크린은 PC Web 필수 범위가 아닙니다.
근거 문서: admin/기능명세서/D07-직원관리/STF-01-직원목록/00-기본기능.md"
471	STF-01-07	직원 등록 진입	"LV3에서 ""[직원 등록] → SCR-061""와 같이 기획코드 명시된 부분은 기능 명시 필요."	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 직원 등록 진입은 직원 등록 화면(SCR-061)으로 이동하는 버튼입니다. 실제 기능은 신규 직원 기본정보/직무/권한/계정 등록입니다.
근거 문서: admin/기능명세서/D07-직원관리/STF-01-직원목록/00-기본기능.md"
472	STF-01-08	본사 통합 조회	"LV3에서 ""지점명 컬럼 자동 표시""가 어떤 기능인지 확인 필요."	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. 본사 통합 조회의 지점명 컬럼 자동 표시는 여러 지점 직원을 함께 볼 때 각 직원의 소속 지점을 테이블 컬럼에 자동 노출하는 기능입니다.
근거 문서: admin/기능명세서/D07-직원관리/STF-01-직원목록/00-기본기능.md"
473	STF-01-09	명단 엑셀 다운로드	"엑셀 다운로드 기능 계약서에 명시 없음.

단순 현재 필터 기준 엑셀 파일 다운로드 정도가 아닌,
LV3 기준으로 현재 필터/전체 분기, 파일명 로직 등까지 들어가게 되면 유상으로 판단됨."	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 명단 엑셀 다운로드는 현재 필터 기준 직원 목록 다운로드입니다. 전체/필터 분기와 파일명 규칙은 운영 편의 옵션입니다.
근거 문서: admin/기능명세서/D07-직원관리/STF-01-직원목록/00-기본기능.md"
475	STF-02-01	담당 회원 목록	"LV3에서 ""회원명 클릭 → SCR-M004""와 같이 기획코드 적은 부분은 기능 명시 필요."	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 담당 회원 목록에서 회원명 클릭은 회원 상세 화면으로 이동하는 기능입니다. 직원 상세에서 해당 직원이 담당하는 회원을 확인하는 용도입니다.
근거 문서: admin/기능명세서/D07-직원관리/STF-02-직원상세/00-기본기능.md"
478	STF-02-04	근태 요약 카드	"계약서에서는 근태 관리로만 적혀있는데,
 
 근태 요약 카드가 단순히 근태(출퇴근 기록) 표시 정도라면 무상 가능해보임."	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 근태 요약 카드는 해당 직원의 출근일수, 지각, 결근, 초과근무 성격의 요약 지표입니다.
근거 문서: admin/기능명세서/D07-직원관리/STF-02-직원상세/00-기본기능.md"
